,PDBname,affinity
4508,4j22,7.74
4509,4jhq,7.74
4510,4jik,7.74
4511,4kjv,7.74
4512,4ph4,7.74
4513,4pp5,7.74
4514,5cin,7.74
4515,5eh0,7.74
4516,5emm,7.74
4517,5i0l,7.74
4518,5iu8,7.74
4519,5j2x,7.74
4520,5kxi,7.74
4521,5nfh,7.74
4522,5od5,7.74
4523,5uuu,7.74
4524,5yhl,7.74
4525,5zqp,7.74
4526,6c7g,7.74
4527,6fo8,7.74
4528,6nwc,7.74
4529,6q8p,7.74
4530,6qas,7.74
4531,6sfj,7.74
4532,3b7u,7.74
4533,4mm5,7.74
4534,4xnw,7.74
4535,2aou,7.73
4536,3ljg,7.73
4537,5fdi,7.73
4538,5hbs,7.73
4539,5nyh,7.73
4540,5y7h,7.73
4541,1ajv,7.72
4542,1bl7,7.72
4543,1cnw,7.72
4544,1j4r,7.72
4545,1oif,7.72
4546,1uom,7.72
4547,1yk7,7.72
4548,2l84,7.72
4549,2pjb,7.72
4550,2wf3,7.72
4551,2x2c,7.72
4552,2zjf,7.72
4553,3c43,7.72
4554,3e8n,7.72
4555,3el5,7.72
4556,3g9e,7.72
4557,3h8c,7.72
4558,3hnz,7.72
4559,3owb,7.72
4560,3vjc,7.72
4561,3w2r,7.72
4562,4a4w,7.72
4563,4egk,7.72
4564,4fzg,7.72
4565,4hhz,7.72
4566,4hvh,7.72
4567,4im0,7.72
4568,4j1e,7.72
4569,4mw1,7.72
4570,4n9d,7.72
4571,4qmo,7.72
4572,4uvw,7.72
4573,4uw1,7.72
4574,4x6y,7.72
4575,4xe0,7.72
4576,4ycm,7.72
4577,4ztn,7.72
4578,5a3n,7.72
4579,5als,7.72
4580,5em7,7.72
4581,5fqp,7.72
4582,5gty,7.72
4583,5i2r,7.72
4584,5ia2,7.72
4585,5j3s,7.72
4586,5klr,7.72
4587,5lh8,7.72
4588,5lla,7.72
4589,5ngb,7.72
4590,5nib,7.72
4591,5nkc,7.72
4592,5nki,7.72
4593,5tca,7.72
4594,5zg1,7.72
4595,6f96,7.72
4596,6qhr,7.72
4597,6ugz,7.72
4598,1caq,7.72
4599,1p93,7.72
4600,3d4f,7.72
4601,3lk8,7.71
4602,4mmp,7.71
4603,5zqo,7.71
4604,4c37,7.71
4605,1b0f,7.7
4606,1bai,7.7
4607,1gno,7.7
4608,1h8y,7.7
4609,1him,7.7
4610,1hww,7.7
4611,1iem,7.7
4612,1izh,7.7
4613,1j7z,7.7
4614,1m5e,7.7
4615,1mes,7.7
4616,1mm6,7.7
4617,1mm7,7.7
4618,1oau,7.7
4619,1oz0,7.7
4620,1pyw,7.7
4621,1q1y,7.7
4622,1s39,7.7
4623,1sqi,7.7
4624,1uou,7.7
4625,1vja,7.7
4626,1x0n,7.7
4627,1zaf,7.7
4628,2agv,7.7
4629,2b54,7.7
4630,2bts,7.7
4631,2c4f,7.7
4632,2d1o,7.7
4633,2e9o,7.7
4634,2flu,7.7
4635,2fx7,7.7
4636,2g1r,7.7
4637,2hmu,7.7
4638,2hmv,7.7
4639,2hmw,7.7
4640,2ica,7.7
4641,2piy,7.7
4642,2psj,7.7
4643,2qoh,7.7
4644,2uw0,7.7
4645,2ves,7.7
4646,2who,7.7
4647,2yer,7.7
4648,2zjw,7.7
4649,2zyb,7.7
4650,3asx,7.7
4651,3b7r,7.7
4652,3ewc,7.7
4653,3f3e,7.7
4654,3fei,7.7
4655,3g0e,7.7
4656,3hy5,7.7
4657,3i51,7.7
4658,3inh,7.7
4659,3k7f,7.7
4660,3lhg,7.7
4661,3n7r,7.7
4662,3n7s,7.7
4663,3olf,7.7
4664,3p7i,7.7
4665,3q0z,7.7
4666,3qcy,7.7
4667,3qu0,7.7
4668,3qxp,7.7
4669,3th9,7.7
4670,3tpr,7.7
4671,3zxr,7.7
4672,4acc,7.7
4673,4bnu,7.7
4674,4bnx,7.7
4675,4bty,7.7
4676,4cby,7.7
4677,4cpt,7.7
4678,4d0w,7.7
4679,4d2s,7.7
4680,4dfn,7.7
4681,4dk7,7.7
4682,4e7r,7.7
4683,4gcj,7.7
4684,4j8r,7.7
4685,4k2g,7.7
4686,4kln,7.7
4687,4l02,7.7
4688,4n8e,7.7
4689,4nie,7.7
4690,4nld,7.7
4691,4nw5,7.7
4692,4o09,7.7
4693,4pry,7.7
4694,4q0l,7.7
4695,4tmk,7.7
4696,4tw9,7.7
4697,4tyt,7.7
4698,4v1f,7.7
4699,4zga,7.7
4700,5a0a,7.7
4701,5a2s,7.7
4702,5b0x,7.7
4703,5c8k,7.7
4704,5dri,7.7
4705,5he4,7.7
4706,5hvp,7.7
4707,5ktx,7.7
4708,5l9g,7.7
4709,5ni7,7.7
4710,5ni8,7.7
4711,5oq5,7.7
4712,5sz5,7.7
4713,5uv5,7.7
4714,5w92,7.7
4715,5xpl,7.7
4716,5y7w,7.7
4717,6bfp,7.7
4718,6cn5,7.7
4719,6e0r,7.7
4720,6f1x,7.7
4721,6g6t,7.7
4722,6gbx,7.7
4723,6m9t,7.7
4724,6nfn,7.7
4725,6nwk,7.7
4726,6nzg,7.7
4727,6qfx,7.7
4728,6r5f,7.7
4729,6skb,7.7
4730,1fzm,7.7
4731,1qpe,7.7
4732,3chq,7.7
4733,3eyh,7.7
4734,4c36,7.7
4735,4fsl,7.7
4736,4yz9,7.7
4737,5dry,7.7
4738,2a2x,7.69
4739,2itk,7.69
4740,5q0v,7.69
4741,5xsr,7.69
4742,6ezg,7.69
4743,4x7i,7.69
4744,1bjr,7.68
4745,1cyn,7.68
4746,1dbj,7.68
4747,1j07,7.68
4748,1ngw,7.68
4749,1o2q,7.68
4750,1oq5,7.68
4751,1t4v,7.68
4752,1w0z,7.68
4753,1w1g,7.68
4754,1y2k,7.68
4755,1ze8,7.68
4756,2arm,7.68
4757,2cni,7.68
4758,2p1c,7.68
4759,2p8s,7.68
4760,2vci,7.68
4761,2vcj,7.68
4762,2vcx,7.68
4763,2yln,7.68
4764,3c7q,7.68
4765,3eig,7.68
4766,3f8c,7.68
4767,3hrb,7.68
4768,3miy,7.68
4769,3v1r,7.68
4770,4anu,7.68
4771,4cpz,7.68
4772,4d7b,7.68
4773,4del,7.68
4774,4r18,7.68
4775,5ak0,7.68
4776,5d7a,7.68
4777,5di1,7.68
4778,5eg4,7.68
4779,5ek0,7.68
4780,5f1l,7.68
4781,5nkg,7.68
4782,5ovi,7.68
4783,5q14,7.68
4784,5qj2,7.68
4785,5u6v,7.68
4786,5un9,7.68
4787,5wvd,7.68
4788,5wyz,7.68
4789,5xmv,7.68
4790,5yjm,7.68
4791,5yov,7.68
4792,6b4u,7.68
4793,6bw2,7.68
4794,6cvx,7.68
4795,6do4,7.68
4796,6f3i,7.68
4797,6hke,7.68
4798,6msc,7.68
4799,6nyh,7.68
4800,6q7h,7.68
4801,6q8c,7.68
4802,2wxn,7.68
4803,4gh6,7.68
4804,4j3m,7.68
4805,4r17,7.68
4806,4ygf,7.68
4807,6g9a,7.68
4808,2bpv,7.67
4809,3tiw,7.67
4810,4xg4,7.67
4811,5tq7,7.67
4812,1au0,7.66
4813,1f0r,7.66
4814,1i8i,7.66
4815,1juy,7.66
4816,1nny,7.66
4817,1ppk,7.66
4818,1q41,7.66
4819,1uwh,7.66
4820,1y6a,7.66
4821,2az9,7.66
4822,2cn0,7.66
4823,2fj0,7.66
4824,2xu1,7.66
4825,2ydf,7.66
4826,2yjc,7.66
4827,2yme,7.66
4828,3cde,7.66
4829,3d14,7.66
4830,3d25,7.66
4831,3dv5,7.66
4832,3fup,7.66
4833,3g0f,7.66
4834,3k3e,7.66
4835,3k83,7.66
4836,3ow4,7.66
4837,3p7c,7.66
4838,3qi1,7.66
4839,3sl5,7.66
4840,3way,7.66
4841,3wd1,7.66
4842,3zep,7.66
4843,4ach,7.66
4844,4aw8,7.66
4845,4b74,7.66
4846,4bjx,7.66
4847,4c4i,7.66
4848,4d1s,7.66
4849,4e5w,7.66
4850,4fbx,7.66
4851,4g8o,7.66
4852,4g8r,7.66
4853,4gq4,7.66
4854,4jvj,7.66
4855,4nb3,7.66
4856,4oeu,7.66
4857,4ofl,7.66
4858,4p73,7.66
4859,4q06,7.66
4860,4qev,7.66
4861,4rj7,7.66
4862,4x69,7.66
4863,4x6h,7.66
4864,4zy4,7.66
4865,4zyv,7.66
4866,5a46,7.66
4867,5alu,7.66
4868,5cal,7.66
4869,5db1,7.66
4870,5dfp,7.66
4871,5e1e,7.66
4872,5edc,7.66
4873,5fiv,7.66
4874,5kz0,7.66
4875,5lgu,7.66
4876,5qik,7.66
4877,5tcy,7.66
4878,5w13,7.66
4879,5zqq,7.66
4880,6e1y,7.66
4881,6gjd,7.66
4882,6o5x,7.66
4883,6qaa,7.66
4884,4bch,7.66
4885,5c4t,7.66
4886,5dex,7.65
4887,5tyk,7.65
4888,5wf5,7.65
4889,6dk1,7.65
4890,6pl1,7.65
4891,1c1v,7.64
4892,1e5a,7.64
4893,1o6q,7.64
4894,1q6n,7.64
4895,1uvt,7.64
4896,1vjy,7.64
4897,2bkt,7.64
4898,2g0h,7.64
4899,2hl4,7.64
4900,2in6,7.64
4901,2wez,7.64
4902,3d78,7.64
4903,3fat,7.64
4904,3h89,7.64
4905,3hl7,7.64
4906,3k5k,7.64
4907,3l0v,7.64
4908,3poz,7.64
4909,3sjf,7.64
4910,3wyk,7.64
4911,3zmg,7.64
4912,4bfr,7.64
4913,4ixu,7.64
4914,4jje,7.64
4915,4jlm,7.64
4916,4kiq,7.64
4917,4lwi,7.64
4918,4m1d,7.64
4919,4qmv,7.64
4920,4r5y,7.64
4921,4r73,7.64
4922,4rpo,7.64
4923,4ruz,7.64
4924,4yk5,7.64
4925,5ctb,7.64
4926,5eie,7.64
4927,5el9,7.64
4928,5eml,7.64
4929,5exn,7.64
4930,5hlw,7.64
4931,5iez,7.64
4932,5nhp,7.64
4933,5qck,7.64
4934,5t68,7.64
4935,5tho,7.64
4936,5tq8,7.64
4937,5u6j,7.64
4938,5xpm,7.64
4939,6cjy,7.64
4940,6df4,7.64
4941,6gub,7.64
4942,6h4z,7.64
4943,6iup,7.64
4944,966c,7.64
4945,1c1r,7.63
4946,1mqi,7.63
4947,1owk,7.63
4948,4avi,7.63
4949,4x5z,7.63
4950,5v13,7.63
4951,6fob,7.63
4952,2xba,7.63
4953,1fzq,7.62
4954,1k6t,7.62
4955,1no9,7.62
4956,1v3x,7.62
4957,1yqy,7.62
4958,2aoe,7.62
4959,2i0y,7.62
4960,2i1m,7.62
4961,2p3c,7.62
4962,2psu,7.62
4963,2pvl,7.62
4964,2w7x,7.62
4965,2z4r,7.62
4966,3be9,7.62
4967,3eyu,7.62
4968,3ii5,7.62
4969,3o4k,7.62
4970,3vc4,7.62
4971,3w8o,7.62
4972,3wv3,7.62
4973,4avw,7.62
4974,4awo,7.62
4975,4dbm,7.62
4976,4i80,7.62
4977,4jp9,7.62
4978,4k4e,7.62
4979,4kn7,7.62
4980,4nrk,7.62
4981,4o1d,7.62
4982,4uin,7.62
4983,4xgz,7.62
4984,5d9l,7.62
4985,5f4l,7.62
4986,5hu9,7.62
4987,5i22,7.62
4988,5opb,7.62
4989,5qj3,7.62
4990,5xkm,7.62
4991,5yy6,7.62
4992,6f26,7.62
4993,6g02,7.62
4994,6g5l,7.62
4995,6gvx,7.62
4996,6ncj,7.62
4997,6qyn,7.62
4998,6qz8,7.62
4999,4jbo,7.62
5000,5ta4,7.62
5001,1ftm,7.61
5002,3ibn,7.61
5003,3ifp,7.61
5004,4g95,7.61
5005,5m77,7.61
5006,5mwj,7.61
5007,5q0o,7.61
5008,5xmr,7.61
5009,5vij,7.61
5010,1bmk,7.6
5011,1klu,7.6
5012,1lpz,7.6
5013,1nj1,7.6
5014,1orw,7.6
5015,1pcg,7.6
5016,1xlx,7.6
5017,1xs7,7.6
5018,2c3i,7.6
5019,2fs8,7.6
5020,2fxr,7.6
5021,2jt6,7.6
5022,2o8h,7.6
5023,2qoe,7.6
5024,2wcx,7.6
5025,2y6o,7.6
5026,2yns,7.6
5027,2zmm,7.6
5028,2zp0,7.6
5029,3ehx,7.6
5030,3el8,7.6
5031,3fh7,7.6
5032,3fi2,7.6
5033,3gc4,7.6
5034,3gxl,7.6
5035,3hmm,7.6
5036,3ig6,7.6
5037,3igv,7.6
5038,3iph,7.6
5039,3jwq,7.6
5040,3kfa,7.6
5041,3kr4,7.6
5042,3liw,7.6
5043,3nwe,7.6
5044,3o87,7.6
5045,3oyn,7.6
5046,3p58,7.6
5047,3ptg,7.6
5048,3r6g,7.6
5049,3ubx,7.6
5050,3v01,7.6
5051,4bds,7.6
5052,4bzr,7.6
5053,4c4e,7.6
5054,4hyf,7.6
5055,4m8h,7.6
5056,4o74,7.6
5057,4ui8,7.6
5058,4uyf,7.6
5059,4uyg,7.6
5060,4yec,7.6
5061,4ztm,7.6
5062,4zts,7.6
5063,5db2,7.6
5064,5dyt,7.6
5065,5e7r,7.6
5066,5eym,7.6
5067,5i8c,7.6
5068,5ia5,7.6
5069,5oq4,7.6
5070,5t9u,7.6
5071,5tc0,7.6
5072,5tqu,7.6
5073,5typ,7.6
5074,6arj,7.6
5075,6ary,7.6
5076,6css,7.6
5077,6guc,7.6
5078,6hjk,7.6
5079,6iar,7.6
5080,2gvf,7.6
5081,3iux,7.6
5082,3rj7,7.6
5083,4ec4,7.6
5084,5hct,7.6
5085,1q6k,7.59
5086,1zfp,7.59
5087,2c3k,7.59
5088,2fdp,7.59
5089,2lbv,7.59
5090,2v13,7.59
5091,2wf2,7.59
5092,2xb8,7.59
5093,3bm6,7.59
5094,3cl2,7.59
5095,3dtc,7.59
5096,3hf6,7.59
5097,3p3s,7.59
5098,3prz,7.59
5099,3t5u,7.59
5100,4c4f,7.59
5101,4cu7,7.59
5102,4i0t,7.59
5103,4j03,7.59
5104,4otg,7.59
5105,4ret,7.59
5106,4rro,7.59
5107,4tw7,7.59
5108,4wnm,7.59
5109,4zg9,7.59
5110,4zy5,7.59
5111,5fqr,7.59
5112,5fun,7.59
5113,5nkd,7.59
5114,5nkh,7.59
5115,5owc,7.59
5116,5swh,7.59
5117,6ela,7.59
5118,6guh,7.59
5119,6hax,7.59
5120,6huc,7.59
5121,6sfi,7.59
5122,6ugo,7.59
5123,3sap,7.59
5124,4uda,7.59
5125,1u65,7.58
5126,3cda,7.58
5127,4b05,7.58
5128,5xmt,7.58
5129,1a0q,7.57
5130,1c3b,7.57
5131,1dxp,7.57
5132,1m13,7.57
5133,1pk0,7.57
5134,1qhc,7.57
5135,2avs,7.57
5136,2ax6,7.57
5137,2bmc,7.57
5138,2ph6,7.57
5139,2pyn,7.57
5140,2qzk,7.57
5141,2xh5,7.57
5142,2y1x,7.57
5143,3cd0,7.57
5144,3dek,7.57
5145,3fkv,7.57
5146,3gfw,7.57
5147,3ipq,7.57
5148,3ixg,7.57
5149,3l5e,7.57
5150,3nnv,7.57
5151,3ocp,7.57
5152,3pjc,7.57
5153,3q6w,7.57
5154,3rjw,7.57
5155,3s3o,7.57
5156,3sl4,7.57
5157,4alw,7.57
5158,4bkz,7.57
5159,4crb,7.57
5160,4fnn,7.57
5161,4jjm,7.57
5162,4lwh,7.57
5163,4no1,7.57
5164,4nvp,7.57
5165,4pmm,7.57
5166,4zw3,7.57
5167,5arg,7.57
5168,5ive,7.57
5169,5jr2,7.57
5170,5oax,7.57
5171,5uoy,7.57
5172,5vdk,7.57
5173,5w6r,7.57
5174,5w6t,7.57
5175,5wj6,7.57
5176,5xst,7.57
5177,6co4,7.57
5178,6gla,7.57
5179,6n3l,7.57
5180,6udy,7.57
5181,1d09,7.57
5182,1q95,7.57
5183,1ryh,7.56
5184,2jiu,7.56
5185,3cct,7.56
5186,3suf,7.56
5187,5cpr,7.56
5188,5oq6,7.56
5189,6g22,7.56
5190,6mju,7.56
5191,1csh,7.55
5192,1k1j,7.55
5193,1owi,7.55
5194,1riw,7.55
5195,1v0l,7.55
5196,1v0n,7.55
5197,1vj9,7.55
5198,1w10,7.55
5199,2cmf,7.55
5200,2oi0,7.55
5201,2xj1,7.55
5202,3a4p,7.55
5203,3b50,7.55
5204,3e9h,7.55
5205,3khj,7.55
5206,3ni5,7.55
5207,3rz0,7.55
5208,4anm,7.55
5209,4asj,7.55
5210,4b6q,7.55
5211,4dem,7.55
5212,4dhf,7.55
5213,4gmy,7.55
5214,4h5c,7.55
5215,4h5d,7.55
5216,4j0v,7.55
5217,4jk5,7.55
5218,4mvw,7.55
5219,4nct,7.55
5220,4ngn,7.55
5221,4ngr,7.55
5222,4ohm,7.55
5223,4ywa,7.55
5224,5a8z,7.55
5225,5c8n,7.55
5226,5d11,7.55
5227,5oot,7.55
5228,5teh,7.55
5229,5v88,7.55
5230,6aqs,7.55
5231,6gvf,7.55
5232,6hsh,7.55
5233,6hvj,7.55
5234,6ke0,7.55
5235,6mrg,7.55
5236,6ugq,7.55
5237,1lpk,7.55
5238,4l53,7.55
5239,1g1e,7.54
5240,1h35,7.54
5241,1j1a,7.54
5242,1ths,7.54
5243,1tkx,7.54
5244,2e7l,7.54
5245,2f1g,7.54
5246,2hvx,7.54
5247,2tsr,7.54
5248,3t8w,7.54
5249,4exz,7.54
5250,4fxy,7.54
5251,4g17,7.54
5252,4hu1,7.54
5253,4joa,7.54
5254,4jrv,7.54
5255,4lww,7.54
5256,4mvy,7.54
5257,4o28,7.54
5258,4qer,7.54
5259,4ruu,7.54
5260,4um3,7.54
5261,4uuq,7.54
5262,4zjr,7.54
5263,5h1e,7.54
5264,5hes,7.54
5265,5nwh,7.54
5266,5ox6,7.54
5267,5ttv,7.54
5268,5yjb,7.54
5269,6bbu,7.54
5270,6cwf,7.54
5271,6cwh,7.54
5272,6cwi,7.54
5273,6eee,7.54
5274,6fex,7.54
5275,6ggv,7.54
5276,6hwu,7.54
5277,6m9l,7.54
5278,6mhm,7.54
5279,6mln,7.54
5280,6n3k,7.54
5281,6q6o,7.54
5282,2wu6,7.53
5283,3w2t,7.53
5284,4cpu,7.53
5285,4z7f,7.53
5286,5ly1,7.53
5287,6q8b,7.53
5288,5u8c,7.53
5289,1bm7,7.52
5290,1ivp,7.52
5291,1lah,7.52
5292,1lf2,7.52
5293,1lke,7.52
5294,1mmq,7.52
5295,1onp,7.52
5296,1osg,7.52
5297,1pq3,7.52
5298,1qcp,7.52
5299,1r5g,7.52
5300,1uml,7.52
5301,1vea,7.52
5302,1z5m,7.52
5303,1zfq,7.52
5304,1zom,7.52
5305,2c6c,7.52
5306,2io6,7.52
5307,2lp8,7.52
5308,2mas,7.52
5309,2nnv,7.52
5310,2ow9,7.52
5311,2r64,7.52
5312,2rgp,7.52
5313,2uzn,7.52
5314,2w3l,7.52
5315,2zmj,7.52
5316,3bmy,7.52
5317,3.00E+01,7.52
5318,3ekr,7.52
5319,3ft8,7.52
5320,3hfb,7.52
5321,3hmo,7.52
5322,3i02,7.52
5323,3in4,7.52
5324,3l4u,7.52
5325,3mpm,7.52
5326,3ogq,7.52
5327,3owd,7.52
5328,3tv7,7.52
5329,3u2k,7.52
5330,3uvm,7.52
5331,3zbf,7.52
5332,4bnv,7.52
5333,4dij,7.52
5334,4dq2,7.52
5335,4f6w,7.52
5336,4ga3,7.52
5337,4gpk,7.52
5338,4gvu,7.52
5339,4hs6,7.52
5340,4i6q,7.52
5341,4ijq,7.52
5342,4oon,7.52
5343,4qbb,7.52
5344,4r6t,7.52
5345,4rac,7.52
5346,4ty6,7.52
5347,4w4z,7.52
5348,5a00,7.52
5349,5alg,7.52
5350,5d48,7.52
5351,5eoc,7.52
5352,5f20,7.52
5353,5fi6,7.52
5354,5i8g,7.52
5355,5i94,7.52
5356,5i9x,7.52
5357,5m2q,7.52
5358,5mmp,7.52
5359,5nau,7.52
5360,5twx,7.52
5361,5ukm,7.52
5362,5za1,7.52
5363,5znc,7.52
5364,6bir,7.52
5365,6flg,7.52
5366,6h76,7.52
5367,6q9t,7.52
5368,6qyo,7.52
5369,6ul8,7.52
5370,2vts,7.52
5371,3myq,7.52
5372,3rlr,7.52
5373,5ktw,7.52
5374,1pf8,7.51
5375,2uw5,7.51
5376,2vwo,7.51
5377,2xru,7.51
5378,2ydo,7.51
5379,3n2v,7.51
5380,3o6l,7.51
5381,3oeu,7.51
5382,3og7,7.51
5383,3ovx,7.51
5384,3p9j,7.51
5385,3tjc,7.51
5386,4af3,7.51
5387,4hdp,7.51
5388,4j3j,7.51
5389,4qf8,7.51
5390,4xyc,7.51
5391,4yqm,7.51
5392,4zph,7.51
5393,5byi,7.51
5394,5e2w,7.51
5395,5ety,7.51
5396,5jjm,7.51
5397,5ly3,7.51
5398,5mxx,7.51
5399,5myg,7.51
5400,5myv,7.51
5401,5usy,7.51
5402,5xmu,7.51
5403,5yqw,7.51
5404,6alc,7.51
5405,6c0r,7.51
5406,6fhk,7.51
5407,3peq,7.5
5408,3srv,7.5
5409,4cpw,7.5
5410,5mwp,7.5
5411,6fu5,7.5
5412,6hk3,7.5
5413,6otg,7.5
5414,1ewj,7.49
5415,1oir,7.49
5416,2br8,7.49
5417,2fvc,7.49
5418,2hh5,7.49
5419,2hhn,7.49
5420,2xdm,7.49
5421,2ynd,7.49
5422,3d4l,7.49
5423,3eu5,7.49
5424,3m6r,7.49
5425,3nyx,7.49
5426,3ska,7.49
5427,4b1d,7.49
5428,4g2l,7.49
5429,4hni,7.49
5430,4kb7,7.49
5431,4kbi,7.49
5432,4kwp,7.49
5433,4l6t,7.49
5434,4myq,7.49
5435,4tk5,7.49
5436,4uvv,7.49
5437,4w7p,7.49
5438,4xg7,7.49
5439,5doh,7.49
5440,5nud,7.49
5441,5vih,7.49
5442,6b16,7.49
5443,6dn5,7.49
5444,6ehh,7.49
5445,6gin,7.49
5446,2cfd,7.49
5447,3pdc,7.49
5448,1fls,7.48
5449,1iiq,7.48
5450,1k6c,7.48
5451,1rev,7.48
5452,1tvr,7.48
5453,1u71,7.48
5454,1wok,7.48
5455,1y2j,7.48
5456,2c9t,7.48
5457,2qhy,7.48
5458,2qwe,7.48
5459,2vie,7.48
5460,3fdn,7.48
5461,3h0a,7.48
5462,3l16,7.48
5463,3l3l,7.48
5464,3o6m,7.48
5465,3qxm,7.48
5466,3u92,7.48
5467,3wf6,7.48
5468,4bcd,7.48
5469,4bqw,7.48
5470,4e0w,7.48
5471,4jt8,7.48
5472,4pgb,7.48
5473,4q2k,7.48
5474,4w9w,7.48
5475,5a5v,7.48
5476,5emj,7.48
5477,5gr9,7.48
5478,5i89,7.48
5479,5l01,7.48
5480,5tol,7.48
5481,6dl2,7.48
5482,6dne,7.48
5483,6eya,7.48
5484,6h7b,7.48
5485,6qau,7.48
5486,3vbg,7.48
5487,5w4r,7.48
5488,1h8l,7.47
5489,1ogu,7.47
5490,1xh4,7.47
5491,2nm1,7.47
5492,2pzy,7.47
5493,2wxq,7.47
5494,2x7o,7.47
5495,3el0,7.47
5496,3f3w,7.47
5497,3gb2,7.47
5498,3oe4,7.47
5499,3own,7.47
5500,3shj,7.47
5501,3wab,7.47
5502,3zw3,7.47
5503,4abj,7.47
5504,4fil,7.47
5505,4ge6,7.47
5506,5e8a,7.47
5507,5fas,7.47
5508,5j9l,7.47
5509,5jt2,7.47
5510,5lay,7.47
5511,5ntq,7.47
5512,5ny3,7.47
5513,5o07,7.47
5514,5ogb,7.47
5515,5tmp,7.47
5516,5v1b,7.47
5517,6b1e,7.47
5518,6maj,7.47
5519,5mft,7.47
5520,1e9h,7.46
5521,1iq1,7.46
5522,1my8,7.46
5523,1yei,7.46
5524,1yej,7.46
5525,2g71,7.46
5526,2p53,7.46
5527,2yc5,7.46
5528,3ctj,7.46
5529,3fed,7.46
5530,3g5y,7.46
5531,3hqw,7.46
5532,3kcf,7.46
5533,3kxz,7.46
5534,3le6,7.46
5535,3nlb,7.46
5536,3ocz,7.46
5537,3rwq,7.46
5538,3sv6,7.46
5539,3t2w,7.46
5540,3uvp,7.46
5541,4aa0,7.46
5542,4cpr,7.46
5543,4dff,7.46
5544,4fhh,7.46
5545,4npv,7.46
5546,4ohp,7.46
5547,4or0,7.46
5548,4p4i,7.46
5549,4puj,7.46
5550,4q4o,7.46
5551,4rx8,7.46
5552,4w4w,7.46
5553,5aae,7.46
5554,5edr,7.46
5555,5f61,7.46
5556,5fdc,7.46
5557,5hg9,7.46
5558,5maj,7.46
5559,5msb,7.46
5560,5nf6,7.46
5561,5nlk,7.46
5562,5nve,7.46
5563,5tyj,7.46
5564,6.00E+92,7.46
5565,6gxb,7.46
5566,6huu,7.46
5567,6k1q,7.46
5568,6qft,7.46
5569,6qfu,7.46
5570,6qmk,7.46
5571,1sqo,7.46
5572,3ikc,7.46
5573,3rde,7.46
5574,1n0s,7.45
5575,2ccb,7.45
5576,3oy3,7.45
5577,3u7m,7.45
5578,4azi,7.45
5579,4r6v,7.45
5580,6pyc,7.45
5581,1ciz,7.44
5582,1eou,7.44
5583,1qb9,7.44
5584,1sc8,7.44
5585,1vzq,7.44
5586,1ysi,7.44
5587,2f7o,7.44
5588,2oxn,7.44
5589,2qbq,7.44
5590,2r38,7.44
5591,2vx9,7.44
5592,2x6j,7.44
5593,2ydm,7.44
5594,3apc,7.44
5595,3dx0,7.44
5596,3gp0,7.44
5597,3jzr,7.44
5598,3lbl,7.44
5599,3ogp,7.44
5600,3p3h,7.44
5601,3qkv,7.44
5602,3shz,7.44
5603,3w33,7.44
5604,3znr,7.44
5605,4avj,7.44
5606,4f3i,7.44
5607,4i0s,7.44
5608,4k8s,7.44
5609,4m2v,7.44
5610,4o0r,7.44
5611,4qls,7.44
5612,4x21,7.44
5613,4z2i,7.44
5614,4z8m,7.44
5615,5aaf,7.44
5616,5b6g,7.44
5617,5f02,7.44
5618,5h22,7.44
5619,5kx7,7.44
5620,5ngu,7.44
5621,5xpp,7.44
5622,6ceh,7.44
5623,6dkp,7.44
5624,6mdc,7.44
5625,6o0o,7.44
5626,2cfg,7.44
5627,1b5j,7.43
5628,1fl6,7.43
5629,1pi4,7.43
5630,1vyw,7.43
5631,2bak,7.43
5632,2bks,7.43
5633,2i72,7.43
5634,2isv,7.43
5635,2isw,7.43
5636,3dm6,7.43
5637,3mmf,7.43
5638,3omm,7.43
5639,3q3t,7.43
5640,3vqu,7.43
5641,4aq3,7.43
5642,4d2v,7.43
5643,4o05,7.43
5644,4ogi,7.43
5645,4ov5,7.43
5646,4qgd,7.43
5647,4qpa,7.43
5648,4y16,7.43
5649,5aeh,7.43
5650,5db0,7.43
5651,5lmk,7.43
5652,5ufo,7.43
5653,6cck,7.43
5654,6ed6,7.43
5655,6eol,7.43
5656,6f86,7.43
5657,6rfi,7.43
5658,1q5k,7.42
5659,1t32,7.42
5660,1y6b,7.42
5661,2aow,7.42
5662,2aox,7.42
5663,2fl6,7.42
5664,2p2i,7.42
5665,2xys,7.42
5666,2zu4,7.42
5667,3g8i,7.42
5668,3l5r,7.42
5669,3qkm,7.42
5670,3ryy,7.42
5671,4az0,7.42
5672,4ded,7.42
5673,4dxj,7.42
5674,4gtv,7.42
5675,4ojr,7.42
5676,4p7s,7.42
5677,4wwo,7.42
5678,5cao,7.42
5679,5dh3,7.42
5680,5fxr,7.42
5681,5i24,7.42
5682,5jf3,7.42
5683,5jm4,7.42
5684,5kx8,7.42
5685,5lyx,7.42
5686,5nk3,7.42
5687,5nmf,7.42
5688,5npd,7.42
5689,5tw5,7.42
5690,6duh,7.42
5691,6ei5,7.42
5692,6fa3,7.42
5693,6h4s,7.42
5694,6qaf,7.42
5695,1bmq,7.42
5696,2pou,7.42
5697,3zm9,7.42
5698,4at5,7.42
5699,1cpi,7.41
5700,1dwc,7.41
5701,1ik4,7.41
5702,1veb,7.41
5703,1ym4,7.41
5704,2fjn,7.41
